Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,51,35,14,2,Iris-setosa
2,49,3,14,2,Iris-setosa
3,47,32,13,2,Iris-setosa
4,46,31,15,2,Iris-setosa
5,5,36,14,2,Iris-setosa
6,54,39,17,4,Iris-setosa
7,46,34,14,3,Iris-setosa
8,5,34,15,2,Iris-setosa
9,44,29,14,2,Iris-setosa
10,49,31,15,1,Iris-setosa
11,54,37,15,2,Iris-setosa
12,48,34,16,2,Iris-setosa
13,48,3,14,1,Iris-setosa
14,43,3,11,1,Iris-setosa
15,58,4,12,2,Iris-setosa
16,57,44,15,4,Iris-setosa
17,54,39,13,4,Iris-setosa
18,51,35,14,3,Iris-setosa
19,57,38,17,3,Iris-setosa
20,51,38,15,3,Iris-setosa
21,54,34,17,2,Iris-setosa
22,51,37,15,4,Iris-setosa
23,46,36,1,2,Iris-setosa
24,51,33,17,5,Iris-setosa
25,48,34,19,2,Iris-setosa
26,5,3,16,2,Iris-setosa
27,5,34,16,4,Iris-setosa
28,52,35,15,2,Iris-setosa
29,52,34,14,2,Iris-setosa
30,47,32,16,2,Iris-setosa
31,48,31,16,2,Iris-setosa
32,54,34,15,4,Iris-setosa
33,52,41,15,1,Iris-setosa
34,55,42,14,2,Iris-setosa
35,49,31,15,1,Iris-setosa
36,5,32,12,2,Iris-setosa
37,55,35,13,2,Iris-setosa
38,49,31,15,1,Iris-setosa
39,44,3,13,2,Iris-setosa
40,51,34,15,2,Iris-setosa
41,5,35,13,3,Iris-setosa
42,45,23,13,3,Iris-setosa
43,44,32,13,2,Iris-setosa
44,5,35,16,6,Iris-setosa
45,51,38,19,4,Iris-setosa
46,48,3,14,3,Iris-setosa
47,51,38,16,2,Iris-setosa
48,46,32,14,2,Iris-setosa
49,53,37,15,2,Iris-setosa
50,5,33,14,2,Iris-setosa
51,7,32,47,14,Iris-versicolor
52,64,32,45,15,Iris-versicolor
53,69,31,49,15,Iris-versicolor
54,55,23,4,13,Iris-versicolor
55,65,28,46,15,Iris-versicolor
56,57,28,45,13,Iris-versicolor
57,63,33,47,16,Iris-versicolor
58,49,24,33,1,Iris-versicolor
59,66,29,46,13,Iris-versicolor
60,52,27,39,14,Iris-versicolor
61,5,2,35,1,Iris-versicolor
62,59,3,42,15,Iris-versicolor
63,6,22,4,1,Iris-versicolor
64,61,29,47,14,Iris-versicolor
65,56,29,36,13,Iris-versicolor
66,67,31,44,14,Iris-versicolor
67,56,3,45,15,Iris-versicolor
68,58,27,41,1,Iris-versicolor
69,62,22,45,15,Iris-versicolor
70,56,25,39,11,Iris-versicolor
71,59,32,48,18,Iris-versicolor
72,61,28,4,13,Iris-versicolor
73,63,25,49,15,Iris-versicolor
74,61,28,47,12,Iris-versicolor
75,64,29,43,13,Iris-versicolor
76,66,3,44,14,Iris-versicolor
77,68,28,48,14,Iris-versicolor
78,67,3,5,17,Iris-versicolor
79,6,29,45,15,Iris-versicolor
80,57,26,35,1,Iris-versicolor
81,55,24,38,11,Iris-versicolor
82,55,24,37,1,Iris-versicolor
83,58,27,39,12,Iris-versicolor
84,6,27,51,16,Iris-versicolor
85,54,3,45,15,Iris-versicolor
86,6,34,45,16,Iris-versicolor
87,67,31,47,15,Iris-versicolor
88,63,23,44,13,Iris-versicolor
89,56,3,41,13,Iris-versicolor
90,55,25,4,13,Iris-versicolor
91,55,26,44,12,Iris-versicolor
92,61,3,46,14,Iris-versicolor
93,58,26,4,12,Iris-versicolor
94,5,23,33,1,Iris-versicolor
95,56,27,42,13,Iris-versicolor
96,57,3,42,12,Iris-versicolor
97,57,29,42,13,Iris-versicolor
98,62,29,43,13,Iris-versicolor
99,51,25,3,11,Iris-versicolor
100,57,28,41,13,Iris-versicolor
101,63,33,6,25,Iris-virginica
102,58,27,51,19,Iris-virginica
103,71,3,59,21,Iris-virginica
104,63,29,56,18,Iris-virginica
105,65,3,58,22,Iris-virginica
106,76,3,66,21,Iris-virginica
107,49,25,45,17,Iris-virginica
108,73,29,63,18,Iris-virginica
109,67,25,58,18,Iris-virginica
110,72,36,61,25,Iris-virginica
111,65,32,51,2,Iris-virginica
112,64,27,53,19,Iris-virginica
113,68,3,55,21,Iris-virginica
114,57,25,5,2,Iris-virginica
115,58,28,51,24,Iris-virginica
116,64,32,53,23,Iris-virginica
117,65,3,55,18,Iris-virginica
118,77,38,67,22,Iris-virginica
119,77,26,69,23,Iris-virginica
120,6,22,5,15,Iris-virginica
121,69,32,57,23,Iris-virginica
122,56,28,49,2,Iris-virginica
123,77,28,67,2,Iris-virginica
124,63,27,49,18,Iris-virginica
125,67,33,57,21,Iris-virginica
126,72,32,6,18,Iris-virginica
127,62,28,48,18,Iris-virginica
128,61,3,49,18,Iris-virginica
129,64,28,56,21,Iris-virginica
130,72,3,58,16,Iris-virginica
131,74,28,61,19,Iris-virginica
132,79,38,64,2,Iris-virginica
133,64,28,56,22,Iris-virginica
134,63,28,51,15,Iris-virginica
135,61,26,56,14,Iris-virginica
136,77,3,61,23,Iris-virginica
137,63,34,56,24,Iris-virginica
138,64,31,55,18,Iris-virginica
139,6,3,48,18,Iris-virginica
140,69,31,54,21,Iris-virginica
141,67,31,56,24,Iris-virginica
142,69,31,51,23,Iris-virginica
143,58,27,51,19,Iris-virginica
144,68,32,59,23,Iris-virginica
145,67,33,57,25,Iris-virginica
146,67,3,52,23,Iris-virginica
147,63,25,5,19,Iris-virginica
148,65,3,52,2,Iris-virginica
149,62,34,54,23,Iris-virginica
150,59,3,51,18,Iris-virginica
